                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.55038,                0.32157,                0.98165,                0.92457,                0.89488,                0.94543,                0.81579,                0.63556,                0.49392,                 1.0963,              0.0010605,              0.0010605,              0.0010605
                     50,                0.54233,                0.32268,                0.98499,                 0.9389,                0.88953,                0.94598,                0.81486,                0.64935,                  0.497,                 1.1111,              0.0010405,              0.0010405,              0.0010405
                     51,                0.55843,                0.32544,                0.99418,                0.93756,                0.87824,                 0.9386,                0.81373,                0.63684,                0.52263,                 1.0907,              0.0010205,              0.0010205,              0.0010205
                     52,                0.53591,                0.31802,                 0.9791,                0.93659,                0.90411,                0.94849,                0.81745,                0.63889,                 0.4652,                 1.0988,              0.0010005,              0.0010005,              0.0010005
                     53,                0.53436,                0.31676,                0.97241,                 0.9295,                 0.8982,                0.94667,                 0.8157,                0.64508,                0.48499,                 1.0985,             0.00098051,             0.00098051,             0.00098051
                     54,                0.52679,                0.30832,                0.97157,                0.93772,                0.91218,                0.94889,                0.82338,                   0.63,                0.46351,                 1.1063,             0.00096052,             0.00096052,             0.00096052
                     55,                0.52581,                0.31426,                0.96822,                0.93008,                0.90885,                0.95532,                0.83123,                0.61761,                0.44443,                 1.0761,             0.00094053,             0.00094053,             0.00094053
                     56,                0.52241,                0.30595,                0.96868,                0.94026,                0.89003,                0.94685,                0.81708,                0.63365,                0.48804,                 1.0878,             0.00092054,             0.00092054,             0.00092054
                     57,                0.50653,                0.29017,                0.96562,                0.94914,                 0.8849,                 0.9439,                0.82311,                0.62484,                0.50796,                 1.0935,             0.00090055,             0.00090055,             0.00090055
                     58,                0.50786,                0.30293,                0.96773,                0.93073,                0.89394,                0.94382,                0.82095,                0.62873,                 0.5108,                 1.0907,             0.00088056,             0.00088056,             0.00088056
                     59,                 0.5207,                0.30105,                  0.966,                0.93159,                0.91508,                 0.9525,                0.82758,                0.61931,                0.46083,                 1.0949,             0.00086057,             0.00086057,             0.00086057
                     60,                0.50792,                0.30077,                0.96026,                0.94915,                0.89421,                0.94658,                0.82668,                0.61921,                0.49958,                 1.0925,             0.00084058,             0.00084058,             0.00084058
                     61,                 0.4946,                0.28912,                0.95759,                0.94256,                0.88436,                0.94625,                0.83558,                0.61103,                0.54251,                  1.092,             0.00082059,             0.00082059,             0.00082059
                     62,                0.48812,                0.28728,                0.95478,                0.92645,                0.90951,                0.94369,                0.81736,                 0.6376,                 0.4871,                 1.1106,              0.0008006,              0.0008006,              0.0008006
                     63,                0.50012,                 0.2901,                0.95905,                0.95031,                0.88224,                0.94202,                0.82606,                0.63575,                 0.5374,                 1.0968,             0.00078061,             0.00078061,             0.00078061
                     64,                0.48824,                0.28283,                0.95124,                0.95751,                0.86954,                0.93381,                0.82133,                0.60939,                0.55851,                  1.075,             0.00076062,             0.00076062,             0.00076062
                     65,                0.48158,                0.28266,                0.94474,                0.94836,                0.85531,                0.92017,                0.81081,                0.63946,                0.65821,                 1.0956,             0.00074063,             0.00074063,             0.00074063
                     66,                0.48108,                 0.2794,                0.93934,                0.93509,                0.88889,                0.94395,                0.82582,                0.61515,                0.48333,                 1.0747,             0.00072064,             0.00072064,             0.00072064
                     67,                0.48371,                0.28178,                0.94645,                0.92797,                0.86361,                0.92972,                0.81061,                 0.6262,                 0.5496,                 1.0842,             0.00070065,             0.00070065,             0.00070065
                     68,                0.47369,                0.27542,                0.93991,                0.93426,                0.87939,                0.93795,                0.82322,                0.62989,                0.56021,                 1.0857,             0.00068066,             0.00068066,             0.00068066
                     69,                 0.4762,                 0.2713,                0.94076,                0.93934,                0.88955,                0.94609,                0.83805,                0.61168,                0.53272,                 1.0788,             0.00066067,             0.00066067,             0.00066067
                     70,                0.46645,                0.27163,                0.94062,                 0.9284,                0.87558,                0.93686,                0.82746,                 0.6047,                0.53267,                 1.0776,             0.00064068,             0.00064068,             0.00064068
                     71,                0.46086,                0.26315,                0.93843,                0.94189,                 0.8843,                0.94341,                0.83115,                0.60278,                0.49425,                 1.0815,             0.00062069,             0.00062069,             0.00062069
                     72,                0.46015,                 0.2699,                0.93331,                0.94013,                0.89421,                0.94896,                0.82713,                  0.628,                0.49197,                  1.101,              0.0006007,              0.0006007,              0.0006007
                     73,                0.45162,                0.26454,                0.93372,                0.94534,                0.87461,                0.94357,                0.83651,                 0.6151,                0.56957,                 1.0952,             0.00058071,             0.00058071,             0.00058071
                     74,                0.45735,                0.25953,                0.92829,                0.94262,                0.88539,                0.94887,                0.84192,                 0.5949,                0.49117,                 1.0723,             0.00056072,             0.00056072,             0.00056072
